CustomerID,Lookalikes
C0001,"[('C0104', 0.3819), ('C0194', 0.3693), ('C0199', 0.333)]"
C0002,"[('C0030', 0.3904), ('C0091', 0.3765), ('C0071', 0.3296)]"
C0003,"[('C0181', 0.4691), ('C0134', 0.4548), ('C0144', 0.3851)]"
C0004,"[('C0070', 0.3327), ('C0175', 0.3262), ('C0105', 0.2707)]"
C0005,"[('C0096', 0.4631), ('C0023', 0.4503), ('C0055', 0.3504)]"
C0006,"[('C0040', 0.4831), ('C0178', 0.3487), ('C0126', 0.2842)]"
C0007,"[('C0079', 0.6027), ('C0118', 0.4512), ('C0020', 0.4188)]"
C0008,"[('C0144', 0.2951), ('C0169', 0.278), ('C0028', 0.2608)]"
C0009,"[('C0097', 0.5447), ('C0083', 0.5287), ('C0060', 0.5131)]"
C0010,"[('C0094', 0.5024), ('C0092', 0.3839), ('C0143', 0.335)]"
C0011,"[('C0135', 0.4937), ('C0120', 0.3454), ('C0173', 0.3086)]"
C0012,"[('C0164', 0.4643), ('C0158', 0.3738), ('C0173', 0.3568)]"
C0013,"[('C0169', 0.457), ('C0092', 0.3591), ('C0099', 0.3369)]"
C0014,"[('C0128', 0.8563), ('C0159', 0.5928), ('C0097', 0.5874)]"
C0015,"[('C0073', 0.6749), ('C0036', 0.5973), ('C0059', 0.3725)]"
C0016,"[('C0187', 0.6099), ('C0064', 0.4897), ('C0052', 0.434)]"
C0017,"[('C0071', 0.4144), ('C0037', 0.3504), ('C0024', 0.3471)]"
C0018,"[('C0177', 0.3468), ('C0059', 0.3222), ('C0115', 0.322)]"
C0019,"[('C0064', 0.3798), ('C0024', 0.3654), ('C0084', 0.2915)]"
C0020,"[('C0026', 0.5884), ('C0058', 0.4575), ('C0007', 0.4188)]"
